day	hour	value	ip	port
1	1	315	129.432.123.3	80
2	1	499	129.432.123.3	8080
3	1	833	129.432.123.3	8000
4	1	726	129.432.123.3	7000
5	1	18	129.432.123.3	9000
6	1	954	129.432.123.3	8888
7	1	198	129.432.123.3	80
1	2	15	129.987.123.422	80
2	2	272	129.987.123.422	8080
3	2	641	129.987.123.422	8000
4	2	918	129.987.123.422	7000
5	2	846	129.987.123.422	9000
6	2	929	129.987.123.422	8888
7	2	656	129.987.123.422	80
1	3	189	987.654.432.123	80
2	3	567	987.654.432.123	8080
3	3	896	987.654.432.123	8000
4	3	633	987.654.432.123	7000
5	3	568	987.654.432.123	9000
6	3	175	987.654.432.123	8888
7	3	642	987.654.432.123	80
1	4	465	456.423.0.124	80
2	4	118	456.423.0.124	8080
3	4	712	456.423.0.124	8000
4	4	62	456.423.0.124	7000
5	4	663	456.423.0.124	9000
6	4	514	456.423.0.124	8888
7	4	352	456.423.0.124	80
1	5	895	126.674.234.543	80
2	5	888	126.674.234.543	8080
3	5	657	126.674.234.543	8000
4	5	857	126.674.234.543	7000
5	5	328	126.674.234.543	9000
6	5	267	126.674.234.543	8888
7	5	845	126.674.234.543	80
1	6	661	129.432.123.3	80
2	6	194	129.432.123.3	8080
3	6	829	129.432.123.3	8000
4	6	662	129.432.123.3	7000
5	6	403	129.432.123.3	9000
6	6	276	129.432.123.3	8888
7	6	433	129.432.123.3	80
1	7	240	129.987.123.422	80
2	7	539	129.987.123.422	8080
3	7	269	129.987.123.422	8000
4	7	638	129.987.123.422	7000
5	7	888	129.987.123.422	9000
6	7	958	129.987.123.422	8888
7	7	629	129.987.123.422	80
1	8	376	987.654.432.123	80
2	8	145	987.654.432.123	8080
3	8	63	987.654.432.123	8000
4	8	947	987.654.432.123	7000
5	8	647	987.654.432.123	9000
6	8	32	987.654.432.123	8888
7	8	719	987.654.432.123	80
1	9	33	456.423.0.124	80
2	9	601	456.423.0.124	8080
3	9	39	456.423.0.124	8000
4	9	694	456.423.0.124	7000
5	9	612	456.423.0.124	9000
6	9	951	456.423.0.124	8888
7	9	80	456.423.0.124	80
1	10	148	126.674.234.543	80
2	10	696	126.674.234.543	8080
3	10	553	126.674.234.543	8000
4	10	985	126.674.234.543	7000
5	10	736	126.674.234.543	9000
6	10	994	126.674.234.543	8888
7	10	219	126.674.234.543	80
1	11	431	129.432.123.3	80
2	11	373	129.432.123.3	8080
3	11	781	129.432.123.3	8000
4	11	848	129.432.123.3	7000
5	11	546	129.432.123.3	9000
6	11	329	129.432.123.3	8888
7	11	59	129.432.123.3	80
1	12	729	129.987.123.422	80
2	12	337	129.987.123.422	8080
3	12	221	129.987.123.422	8000
4	12	101	129.987.123.422	7000
5	12	368	129.987.123.422	9000
6	12	506	129.987.123.422	8888
7	12	148	129.987.123.422	80
1	13	867	987.654.432.123	80
2	13	459	987.654.432.123	8080
3	13	104	987.654.432.123	8000
4	13	904	987.654.432.123	7000
5	13	972	987.654.432.123	9000
6	13	406	987.654.432.123	8888
7	13	54	987.654.432.123	80
1	14	824	456.423.0.124	80
2	14	403	456.423.0.124	8080
3	14	268	456.423.0.124	8000
4	14	395	456.423.0.124	7000
5	14	465	456.423.0.124	9000
6	14	891	456.423.0.124	8888
7	14	741	456.423.0.124	80
1	15	610	126.674.234.543	80
2	15	370	126.674.234.543	8080
3	15	838	126.674.234.543	8000
4	15	355	126.674.234.543	7000
5	15	460	126.674.234.543	9000
6	15	705	126.674.234.543	8888
7	15	420	126.674.234.543	80
