day	hour	value	ip	port
1	1	498	129.432.123.3	80
2	1	47	129.432.123.3	8080
3	1	516	129.432.123.3	8000
4	1	45	129.432.123.3	7000
5	1	251	129.432.123.3	9000
6	1	566	129.432.123.3	8888
7	1	988	129.432.123.3	80
1	2	686	129.987.123.422	80
2	2	451	129.987.123.422	8080
3	2	829	129.987.123.422	8000
4	2	555	129.987.123.422	7000
5	2	320	129.987.123.422	9000
6	2	59	129.987.123.422	8888
7	2	572	129.987.123.422	80
1	3	493	987.654.432.123	80
2	3	940	987.654.432.123	8080
3	3	848	987.654.432.123	8000
4	3	271	987.654.432.123	7000
5	3	239	987.654.432.123	9000
6	3	827	987.654.432.123	8888
7	3	751	987.654.432.123	80
1	4	60	456.423.0.124	80
2	4	399	456.423.0.124	8080
3	4	28	456.423.0.124	8000
4	4	545	456.423.0.124	7000
5	4	204	456.423.0.124	9000
6	4	742	456.423.0.124	8888
7	4	672	456.423.0.124	80
1	5	104	126.674.234.543	80
2	5	41	126.674.234.543	8080
3	5	531	126.674.234.543	8000
4	5	805	126.674.234.543	7000
5	5	702	126.674.234.543	9000
6	5	762	126.674.234.543	8888
7	5	392	126.674.234.543	80
1	6	89	129.432.123.3	80
2	6	906	129.432.123.3	8080
3	6	671	129.432.123.3	8000
4	6	518	129.432.123.3	7000
5	6	471	129.432.123.3	9000
6	6	871	129.432.123.3	8888
7	6	420	129.432.123.3	80
1	7	544	129.987.123.422	80
2	7	705	129.987.123.422	8080
3	7	788	129.987.123.422	8000
4	7	346	129.987.123.422	7000
5	7	36	129.987.123.422	9000
6	7	347	129.987.123.422	8888
7	7	352	129.987.123.422	80
1	8	16	987.654.432.123	80
2	8	314	987.654.432.123	8080
3	8	37	987.654.432.123	8000
4	8	468	987.654.432.123	7000
5	8	574	987.654.432.123	9000
6	8	221	987.654.432.123	8888
7	8	603	987.654.432.123	80
1	9	525	456.423.0.124	80
2	9	514	456.423.0.124	8080
3	9	429	456.423.0.124	8000
4	9	644	456.423.0.124	7000
5	9	358	456.423.0.124	9000
6	9	674	456.423.0.124	8888
7	9	893	456.423.0.124	80
1	10	568	126.674.234.543	80
2	10	669	126.674.234.543	8080
3	10	718	126.674.234.543	8000
4	10	939	126.674.234.543	7000
5	10	661	126.674.234.543	9000
6	10	789	126.674.234.543	8888
7	10	753	126.674.234.543	80
1	11	900	129.432.123.3	80
2	11	856	129.432.123.3	8080
3	11	951	129.432.123.3	8000
4	11	433	129.432.123.3	7000
5	11	269	129.432.123.3	9000
6	11	215	129.432.123.3	8888
7	11	701	129.432.123.3	80
1	12	460	129.987.123.422	80
2	12	584	129.987.123.422	8080
3	12	256	129.987.123.422	8000
4	12	914	129.987.123.422	7000
5	12	138	129.987.123.422	9000
6	12	995	129.987.123.422	8888
7	12	352	129.987.123.422	80
1	13	366	987.654.432.123	80
2	13	281	987.654.432.123	8080
3	13	607	987.654.432.123	8000
4	13	573	987.654.432.123	7000
5	13	343	987.654.432.123	9000
6	13	877	987.654.432.123	8888
7	13	763	987.654.432.123	80
1	14	159	456.423.0.124	80
2	14	859	456.423.0.124	8080
3	14	562	456.423.0.124	8000
4	14	168	456.423.0.124	7000
5	14	234	456.423.0.124	9000
6	14	775	456.423.0.124	8888
7	14	600	456.423.0.124	80
1	15	742	126.674.234.543	80
2	15	748	126.674.234.543	8080
3	15	668	126.674.234.543	8000
4	15	938	126.674.234.543	7000
5	15	947	126.674.234.543	9000
6	15	31	126.674.234.543	8888
7	15	110	126.674.234.543	80
