day	hour	value	ip	port
1	1	389	129.432.123.3	80
1	2	756	129.432.123.3	8080
1	3	430	129.432.123.3	8000
1	4	136	129.432.123.3	7000
1	5	520	129.432.123.3	9000
1	6	37	129.432.123.3	8888
1	7	916	129.432.123.3	80
1	8	747	129.432.123.3	8080
1	9	687	129.432.123.3	8000
1	10	166	129.432.123.3	7000
1	11	790	129.432.123.3	9000
1	12	694	129.432.123.3	8888
2	1	809	129.987.123.422	80
2	2	337	129.987.123.422	8080
2	3	488	129.987.123.422	8000
2	4	911	129.987.123.422	7000
2	5	427	129.987.123.422	9000
2	6	736	129.987.123.422	8888
2	7	806	129.987.123.422	80
2	8	392	129.987.123.422	8080
2	9	208	129.987.123.422	8000
2	10	907	129.987.123.422	7000
2	11	996	129.987.123.422	9000
2	12	138	129.987.123.422	8888
3	1	694	987.654.432.123	80
3	2	240	987.654.432.123	8080
3	3	244	987.654.432.123	8000
3	4	498	987.654.432.123	7000
3	5	886	987.654.432.123	9000
3	6	189	987.654.432.123	8888
3	7	685	987.654.432.123	80
3	8	670	987.654.432.123	8080
3	9	610	987.654.432.123	8000
3	10	756	987.654.432.123	7000
3	11	6	987.654.432.123	9000
3	12	117	987.654.432.123	8888
4	1	820	456.423.0.124	80
4	2	828	456.423.0.124	8080
4	3	801	456.423.0.124	8000
4	4	178	456.423.0.124	7000
4	5	8	456.423.0.124	9000
4	6	251	456.423.0.124	8888
4	7	272	456.423.0.124	80
4	8	136	456.423.0.124	8080
4	9	92	456.423.0.124	8000
4	10	87	456.423.0.124	7000
4	11	995	456.423.0.124	9000
4	12	993	456.423.0.124	8888
5	1	491	126.674.234.543	80
5	2	956	126.674.234.543	8080
5	3	13	126.674.234.543	8000
5	4	36	126.674.234.543	7000
5	5	163	126.674.234.543	9000
5	6	255	126.674.234.543	8888
5	7	406	126.674.234.543	80
5	8	81	126.674.234.543	8080
5	9	364	126.674.234.543	8000
5	10	926	126.674.234.543	7000
5	11	590	126.674.234.543	9000
5	12	216	126.674.234.543	8888
6	1	45	129.432.123.3	80
6	2	229	129.432.123.3	8080
6	3	468	129.432.123.3	8000
6	4	724	129.432.123.3	7000
6	5	336	129.432.123.3	9000
6	6	428	129.432.123.3	8888
6	7	441	129.432.123.3	80
6	8	105	129.432.123.3	8080
6	9	729	129.432.123.3	8000
6	10	492	129.432.123.3	7000
6	11	760	129.432.123.3	9000
6	12	663	129.432.123.3	8888
7	1	798	129.987.123.422	80
7	2	435	129.987.123.422	8080
7	3	329	129.987.123.422	8000
7	4	165	129.987.123.422	7000
7	5	775	129.987.123.422	9000
7	6	668	129.987.123.422	8888
7	7	931	129.987.123.422	80
7	8	830	129.987.123.422	8080
7	9	999	129.987.123.422	8000
7	10	863	129.987.123.422	7000
7	11	203	129.987.123.422	9000
7	12	608	129.987.123.422	8888
8	1	98	987.654.432.123	80
8	2	582	987.654.432.123	8080
8	3	247	987.654.432.123	8000
8	4	160	987.654.432.123	7000
8	5	672	987.654.432.123	9000
8	6	762	987.654.432.123	8888
8	7	194	987.654.432.123	80
8	8	500	987.654.432.123	8080
8	9	430	987.654.432.123	8000
8	10	112	987.654.432.123	7000
8	11	672	987.654.432.123	9000
8	12	977	987.654.432.123	8888
9	1	249	456.423.0.124	80
9	2	14	456.423.0.124	8080
9	3	158	456.423.0.124	8000
9	4	536	456.423.0.124	7000
9	5	474	456.423.0.124	9000
9	6	704	456.423.0.124	8888
9	7	895	456.423.0.124	80
9	8	329	456.423.0.124	8080
9	9	350	456.423.0.124	8000
9	10	81	456.423.0.124	7000
9	11	376	456.423.0.124	9000
9	12	803	456.423.0.124	8888
10	1	721	126.674.234.543	80
10	2	27	126.674.234.543	8080
10	3	337	126.674.234.543	8000
10	4	906	126.674.234.543	7000
10	5	16	126.674.234.543	9000
10	6	276	126.674.234.543	8888
10	7	968	126.674.234.543	80
10	8	202	126.674.234.543	8080
10	9	119	126.674.234.543	8000
10	10	426	126.674.234.543	7000
10	11	160	126.674.234.543	9000
10	12	231	126.674.234.543	8888
11	1	749	129.432.123.3	80
11	2	283	129.432.123.3	8080
11	3	30	129.432.123.3	8000
11	4	960	129.432.123.3	7000
11	5	126	129.432.123.3	9000
11	6	401	129.432.123.3	8888
11	7	709	129.432.123.3	80
11	8	59	129.432.123.3	8080
11	9	51	129.432.123.3	8000
11	10	706	129.432.123.3	7000
11	11	755	129.432.123.3	9000
11	12	423	129.432.123.3	8888
12	1	463	129.987.123.422	80
12	2	363	129.987.123.422	8080
12	3	746	129.987.123.422	8000
12	4	929	129.987.123.422	7000
12	5	216	129.987.123.422	9000
12	6	394	129.987.123.422	8888
12	7	796	129.987.123.422	80
12	8	448	129.987.123.422	8080
12	9	812	129.987.123.422	8000
12	10	947	129.987.123.422	7000
12	11	62	129.987.123.422	9000
12	12	341	129.987.123.422	8888
13	1	468	987.654.432.123	80
13	2	18	987.654.432.123	8080
13	3	802	987.654.432.123	8000
13	4	753	987.654.432.123	7000
13	5	903	987.654.432.123	9000
13	6	281	987.654.432.123	8888
13	7	397	987.654.432.123	80
13	8	880	987.654.432.123	8080
13	9	842	987.654.432.123	8000
13	10	692	987.654.432.123	7000
13	11	435	987.654.432.123	9000
13	12	57	987.654.432.123	8888
14	1	690	456.423.0.124	80
14	2	183	456.423.0.124	8080
14	3	715	456.423.0.124	8000
14	4	536	456.423.0.124	7000
14	5	830	456.423.0.124	9000
14	6	924	456.423.0.124	8888
14	7	214	456.423.0.124	80
14	8	563	456.423.0.124	8080
14	9	425	456.423.0.124	8000
14	10	109	456.423.0.124	7000
14	11	744	456.423.0.124	9000
14	12	157	456.423.0.124	8888
15	1	747	126.674.234.543	80
15	2	958	126.674.234.543	8080
15	3	534	126.674.234.543	8000
15	4	128	126.674.234.543	7000
15	5	136	126.674.234.543	9000
15	6	526	126.674.234.543	8888
15	7	981	126.674.234.543	80
15	8	617	126.674.234.543	8080
15	9	309	126.674.234.543	8000
15	10	321	126.674.234.543	7000
15	11	604	126.674.234.543	9000
15	12	785	126.674.234.543	8888
