day	hour	value	ip	port
1	1	698	129.432.123.3	80
2	1	257	129.432.123.3	8080
3	1	895	129.432.123.3	8000
4	1	23	129.432.123.3	7000
5	1	318	129.432.123.3	9000
6	1	196	129.432.123.3	8888
7	1	338	129.432.123.3	80
1	2	438	129.987.123.422	80
2	2	810	129.987.123.422	8080
3	2	204	129.987.123.422	8000
4	2	424	129.987.123.422	7000
5	2	4	129.987.123.422	9000
6	2	657	129.987.123.422	8888
7	2	278	129.987.123.422	80
1	3	297	987.654.432.123	80
2	3	120	987.654.432.123	8080
3	3	145	987.654.432.123	8000
4	3	293	987.654.432.123	7000
5	3	25	987.654.432.123	9000
6	3	255	987.654.432.123	8888
7	3	238	987.654.432.123	80
1	4	717	456.423.0.124	80
2	4	494	456.423.0.124	8080
3	4	667	456.423.0.124	8000
4	4	700	456.423.0.124	7000
5	4	199	456.423.0.124	9000
6	4	999	456.423.0.124	8888
7	4	385	456.423.0.124	80
1	5	472	126.674.234.543	80
2	5	565	126.674.234.543	8080
3	5	55	126.674.234.543	8000
4	5	209	126.674.234.543	7000
5	5	139	126.674.234.543	9000
6	5	976	126.674.234.543	8888
7	5	101	126.674.234.543	80
1	6	540	129.432.123.3	80
2	6	70	129.432.123.3	8080
3	6	602	129.432.123.3	8000
4	6	541	129.432.123.3	7000
5	6	374	129.432.123.3	9000
6	6	912	129.432.123.3	8888
7	6	287	129.432.123.3	80
1	7	720	129.987.123.422	80
2	7	202	129.987.123.422	8080
3	7	671	129.987.123.422	8000
4	7	63	129.987.123.422	7000
5	7	281	129.987.123.422	9000
6	7	9	129.987.123.422	8888
7	7	422	129.987.123.422	80
1	8	296	987.654.432.123	80
2	8	198	987.654.432.123	8080
3	8	987	987.654.432.123	8000
4	8	25	987.654.432.123	7000
5	8	134	987.654.432.123	9000
6	8	518	987.654.432.123	8888
7	8	63	987.654.432.123	80
1	9	627	456.423.0.124	80
2	9	977	456.423.0.124	8080
3	9	885	456.423.0.124	8000
4	9	391	456.423.0.124	7000
5	9	967	456.423.0.124	9000
6	9	606	456.423.0.124	8888
7	9	263	456.423.0.124	80
1	10	612	126.674.234.543	80
2	10	503	126.674.234.543	8080
3	10	630	126.674.234.543	8000
4	10	863	126.674.234.543	7000
5	10	360	126.674.234.543	9000
6	10	128	126.674.234.543	8888
7	10	86	126.674.234.543	80
1	11	758	129.432.123.3	80
2	11	349	129.432.123.3	8080
3	11	572	129.432.123.3	8000
4	11	898	129.432.123.3	7000
5	11	451	129.432.123.3	9000
6	11	982	129.432.123.3	8888
7	11	382	129.432.123.3	80
1	12	255	129.987.123.422	80
2	12	762	129.987.123.422	8080
3	12	427	129.987.123.422	8000
4	12	170	129.987.123.422	7000
5	12	944	129.987.123.422	9000
6	12	852	129.987.123.422	8888
7	12	150	129.987.123.422	80
1	13	305	987.654.432.123	80
2	13	637	987.654.432.123	8080
3	13	282	987.654.432.123	8000
4	13	65	987.654.432.123	7000
5	13	213	987.654.432.123	9000
6	13	381	987.654.432.123	8888
7	13	816	987.654.432.123	80
1	14	118	456.423.0.124	80
2	14	881	456.423.0.124	8080
3	14	571	456.423.0.124	8000
4	14	597	456.423.0.124	7000
5	14	126	456.423.0.124	9000
6	14	426	456.423.0.124	8888
7	14	329	456.423.0.124	80
1	15	989	126.674.234.543	80
2	15	953	126.674.234.543	8080
3	15	973	126.674.234.543	8000
4	15	871	126.674.234.543	7000
5	15	395	126.674.234.543	9000
6	15	449	126.674.234.543	8888
7	15	176	126.674.234.543	80
