day	hour	value	ip	port
1	1	914	129.432.123.3	80
2	1	623	129.432.123.3	8080
3	1	351	129.432.123.3	8000
4	1	798	129.432.123.3	7000
5	1	610	129.432.123.3	9000
6	1	517	129.432.123.3	8888
7	1	738	129.432.123.3	80
1	2	271	129.987.123.422	80
2	2	6	129.987.123.422	8080
3	2	673	129.987.123.422	8000
4	2	404	129.987.123.422	7000
5	2	769	129.987.123.422	9000
6	2	54	129.987.123.422	8888
7	2	461	129.987.123.422	80
1	3	677	987.654.432.123	80
2	3	979	987.654.432.123	8080
3	3	554	987.654.432.123	8000
4	3	355	987.654.432.123	7000
5	3	760	987.654.432.123	9000
6	3	791	987.654.432.123	8888
7	3	302	987.654.432.123	80
1	4	645	456.423.0.124	80
2	4	188	456.423.0.124	8080
3	4	428	456.423.0.124	8000
4	4	995	456.423.0.124	7000
5	4	276	456.423.0.124	9000
6	4	706	456.423.0.124	8888
7	4	599	456.423.0.124	80
1	5	102	126.674.234.543	80
2	5	649	126.674.234.543	8080
3	5	323	126.674.234.543	8000
4	5	380	126.674.234.543	7000
5	5	337	126.674.234.543	9000
6	5	288	126.674.234.543	8888
7	5	944	126.674.234.543	80
1	6	350	129.432.123.3	80
2	6	392	129.432.123.3	8080
3	6	568	129.432.123.3	8000
4	6	935	129.432.123.3	7000
5	6	33	129.432.123.3	9000
6	6	412	129.432.123.3	8888
7	6	479	129.432.123.3	80
1	7	559	129.987.123.422	80
2	7	113	129.987.123.422	8080
3	7	806	129.987.123.422	8000
4	7	19	129.987.123.422	7000
5	7	304	129.987.123.422	9000
6	7	536	129.987.123.422	8888
7	7	318	129.987.123.422	80
1	8	89	987.654.432.123	80
2	8	262	987.654.432.123	8080
3	8	798	987.654.432.123	8000
4	8	96	987.654.432.123	7000
5	8	318	987.654.432.123	9000
6	8	266	987.654.432.123	8888
7	8	343	987.654.432.123	80
1	9	586	456.423.0.124	80
2	9	417	456.423.0.124	8080
3	9	754	456.423.0.124	8000
4	9	250	456.423.0.124	7000
5	9	64	456.423.0.124	9000
6	9	171	456.423.0.124	8888
7	9	911	456.423.0.124	80
1	10	417	126.674.234.543	80
2	10	942	126.674.234.543	8080
3	10	870	126.674.234.543	8000
4	10	51	126.674.234.543	7000
5	10	4	126.674.234.543	9000
6	10	81	126.674.234.543	8888
7	10	652	126.674.234.543	80
1	11	561	129.432.123.3	80
2	11	251	129.432.123.3	8080
3	11	156	129.432.123.3	8000
4	11	913	129.432.123.3	7000
5	11	714	129.432.123.3	9000
6	11	957	129.432.123.3	8888
7	11	238	129.432.123.3	80
1	12	157	129.987.123.422	80
2	12	577	129.987.123.422	8080
3	12	392	129.987.123.422	8000
4	12	865	129.987.123.422	7000
5	12	998	129.987.123.422	9000
6	12	385	129.987.123.422	8888
7	12	416	129.987.123.422	80
1	13	791	987.654.432.123	80
2	13	992	987.654.432.123	8080
3	13	24	987.654.432.123	8000
4	13	696	987.654.432.123	7000
5	13	581	987.654.432.123	9000
6	13	74	987.654.432.123	8888
7	13	601	987.654.432.123	80
1	14	21	456.423.0.124	80
2	14	925	456.423.0.124	8080
3	14	882	456.423.0.124	8000
4	14	237	456.423.0.124	7000
5	14	262	456.423.0.124	9000
6	14	406	456.423.0.124	8888
7	14	884	456.423.0.124	80
1	15	89	126.674.234.543	80
2	15	661	126.674.234.543	8080
3	15	786	126.674.234.543	8000
4	15	741	126.674.234.543	7000
5	15	886	126.674.234.543	9000
6	15	19	126.674.234.543	8888
7	15	819	126.674.234.543	80
