day	hour	value	ip	port
1	1	277	129.432.123.3	80
1	2	136	129.432.123.3	8080
1	3	955	129.432.123.3	8000
1	4	189	129.432.123.3	7000
1	5	835	129.432.123.3	9000
1	6	543	129.432.123.3	8888
1	7	514	129.432.123.3	80
1	8	844	129.432.123.3	8080
1	9	658	129.432.123.3	8000
1	10	522	129.432.123.3	7000
1	11	85	129.432.123.3	9000
1	12	114	129.432.123.3	8888
2	1	809	129.987.123.422	80
2	2	843	129.987.123.422	8080
2	3	586	129.987.123.422	8000
2	4	401	129.987.123.422	7000
2	5	985	129.987.123.422	9000
2	6	436	129.987.123.422	8888
2	7	185	129.987.123.422	80
2	8	940	129.987.123.422	8080
2	9	969	129.987.123.422	8000
2	10	188	129.987.123.422	7000
2	11	353	129.987.123.422	9000
2	12	324	129.987.123.422	8888
3	1	310	987.654.432.123	80
3	2	634	987.654.432.123	8080
3	3	213	987.654.432.123	8000
3	4	804	987.654.432.123	7000
3	5	257	987.654.432.123	9000
3	6	25	987.654.432.123	8888
3	7	174	987.654.432.123	80
3	8	648	987.654.432.123	8080
3	9	988	987.654.432.123	8000
3	10	19	987.654.432.123	7000
3	11	157	987.654.432.123	9000
3	12	413	987.654.432.123	8888
4	1	96	456.423.0.124	80
4	2	592	456.423.0.124	8080
4	3	138	456.423.0.124	8000
4	4	387	456.423.0.124	7000
4	5	999	456.423.0.124	9000
4	6	766	456.423.0.124	8888
4	7	709	456.423.0.124	80
4	8	427	456.423.0.124	8080
4	9	192	456.423.0.124	8000
4	10	763	456.423.0.124	7000
4	11	277	456.423.0.124	9000
4	12	298	456.423.0.124	8888
5	1	269	126.674.234.543	80
5	2	993	126.674.234.543	8080
5	3	437	126.674.234.543	8000
5	4	623	126.674.234.543	7000
5	5	541	126.674.234.543	9000
5	6	575	126.674.234.543	8888
5	7	906	126.674.234.543	80
5	8	312	126.674.234.543	8080
5	9	663	126.674.234.543	8000
5	10	809	126.674.234.543	7000
5	11	915	126.674.234.543	9000
5	12	451	126.674.234.543	8888
6	1	229	129.432.123.3	80
6	2	95	129.432.123.3	8080
6	3	991	129.432.123.3	8000
6	4	708	129.432.123.3	7000
6	5	503	129.432.123.3	9000
6	6	348	129.432.123.3	8888
6	7	19	129.432.123.3	80
6	8	638	129.432.123.3	8080
6	9	236	129.432.123.3	8000
6	10	870	129.432.123.3	7000
6	11	631	129.432.123.3	9000
6	12	711	129.432.123.3	8888
7	1	170	129.987.123.422	80
7	2	989	129.987.123.422	8080
7	3	278	129.987.123.422	8000
7	4	523	129.987.123.422	7000
7	5	886	129.987.123.422	9000
7	6	306	129.987.123.422	8888
7	7	109	129.987.123.422	80
7	8	298	129.987.123.422	8080
7	9	904	129.987.123.422	8000
7	10	586	129.987.123.422	7000
7	11	569	129.987.123.422	9000
7	12	725	129.987.123.422	8888
8	1	385	987.654.432.123	80
8	2	973	987.654.432.123	8080
8	3	195	987.654.432.123	8000
