day	hour	value	ip	port
1	1	37	129.432.123.3	80
1	2	122	129.432.123.3	8080
1	3	307	129.432.123.3	8000
1	4	433	129.432.123.3	7000
1	5	715	129.432.123.3	9000
1	6	906	129.432.123.3	8888
1	7	282	129.432.123.3	80
1	8	200	129.432.123.3	8080
1	9	41	129.432.123.3	8000
1	10	140	129.432.123.3	7000
1	11	314	129.432.123.3	9000
1	12	922	129.432.123.3	8888
2	1	881	129.987.123.422	80
2	2	752	129.987.123.422	8080
2	3	271	129.987.123.422	8000
2	4	754	129.987.123.422	7000
2	5	856	129.987.123.422	9000
2	6	790	129.987.123.422	8888
2	7	482	129.987.123.422	80
2	8	537	129.987.123.422	8080
2	9	643	129.987.123.422	8000
2	10	353	129.987.123.422	7000
2	11	579	129.987.123.422	9000
2	12	191	129.987.123.422	8888
3	1	900	987.654.432.123	80
3	2	780	987.654.432.123	8080
3	3	593	987.654.432.123	8000
3	4	411	987.654.432.123	7000
3	5	495	987.654.432.123	9000
3	6	612	987.654.432.123	8888
3	7	56	987.654.432.123	80
3	8	343	987.654.432.123	8080
3	9	960	987.654.432.123	8000
3	10	310	987.654.432.123	7000
3	11	994	987.654.432.123	9000
3	12	45	987.654.432.123	8888
4	1	849	456.423.0.124	80
4	2	15	456.423.0.124	8080
4	3	625	456.423.0.124	8000
4	4	885	456.423.0.124	7000
4	5	619	456.423.0.124	9000
4	6	790	456.423.0.124	8888
4	7	438	456.423.0.124	80
4	8	251	456.423.0.124	8080
4	9	703	456.423.0.124	8000
4	10	48	456.423.0.124	7000
4	11	321	456.423.0.124	9000
4	12	186	456.423.0.124	8888
5	1	404	126.674.234.543	80
5	2	782	126.674.234.543	8080
5	3	385	126.674.234.543	8000
5	4	703	126.674.234.543	7000
5	5	557	126.674.234.543	9000
5	6	977	126.674.234.543	8888
5	7	565	126.674.234.543	80
5	8	578	126.674.234.543	8080
5	9	193	126.674.234.543	8000
5	10	590	126.674.234.543	7000
5	11	472	126.674.234.543	9000
5	12	23	126.674.234.543	8888
6	1	590	129.432.123.3	80
6	2	952	129.432.123.3	8080
6	3	784	129.432.123.3	8000
6	4	179	129.432.123.3	7000
