day	hour	value	ip	port
1	1	126	129.432.123.3	80
2	1	571	129.432.123.3	8080
3	1	552	129.432.123.3	8000
4	1	656	129.432.123.3	7000
5	1	824	129.432.123.3	9000
6	1	364	129.432.123.3	8888
7	1	47	129.432.123.3	80
1	2	763	129.987.123.422	80
2	2	450	129.987.123.422	8080
3	2	71	129.987.123.422	8000
4	2	128	129.987.123.422	7000
5	2	153	129.987.123.422	9000
6	2	880	129.987.123.422	8888
7	2	697	129.987.123.422	80
1	3	254	987.654.432.123	80
2	3	354	987.654.432.123	8080
3	3	975	987.654.432.123	8000
4	3	429	987.654.432.123	7000
5	3	448	987.654.432.123	9000
6	3	903	987.654.432.123	8888
7	3	253	987.654.432.123	80
1	4	201	456.423.0.124	80
2	4	72	456.423.0.124	8080
3	4	990	456.423.0.124	8000
4	4	210	456.423.0.124	7000
5	4	640	456.423.0.124	9000
6	4	687	456.423.0.124	8888
7	4	935	456.423.0.124	80
1	5	790	126.674.234.543	80
2	5	914	126.674.234.543	8080
3	5	828	126.674.234.543	8000
4	5	372	126.674.234.543	7000
5	5	583	126.674.234.543	9000
6	5	23	126.674.234.543	8888
7	5	5	126.674.234.543	80
1	6	847	129.432.123.3	80
2	6	83	129.432.123.3	8080
3	6	862	129.432.123.3	8000
4	6	755	129.432.123.3	7000
5	6	243	129.432.123.3	9000
6	6	503	129.432.123.3	8888
7	6	588	129.432.123.3	80
1	7	160	129.987.123.422	80
2	7	279	129.987.123.422	8080
3	7	199	129.987.123.422	8000
4	7	16	129.987.123.422	7000
5	7	491	129.987.123.422	9000
6	7	587	129.987.123.422	8888
7	7	296	129.987.123.422	80
1	8	836	987.654.432.123	80
2	8	357	987.654.432.123	8080
3	8	31	987.654.432.123	8000
4	8	307	987.654.432.123	7000
5	8	516	987.654.432.123	9000
6	8	248	987.654.432.123	8888
7	8	521	987.654.432.123	80
1	9	401	456.423.0.124	80
2	9	823	456.423.0.124	8080
3	9	746	456.423.0.124	8000
4	9	46	456.423.0.124	7000
5	9	296	456.423.0.124	9000
6	9	598	456.423.0.124	8888
7	9	959	456.423.0.124	80
1	10	704	126.674.234.543	80
2	10	61	126.674.234.543	8080
3	10	429	126.674.234.543	8000
4	10	890	126.674.234.543	7000
5	10	125	126.674.234.543	9000
6	10	850	126.674.234.543	8888
7	10	661	126.674.234.543	80
1	11	979	129.432.123.3	80
2	11	923	129.432.123.3	8080
3	11	842	129.432.123.3	8000
4	11	176	129.432.123.3	7000
5	11	306	129.432.123.3	9000
6	11	911	129.432.123.3	8888
7	11	972	129.432.123.3	80
1	12	778	129.987.123.422	80
2	12	699	129.987.123.422	8080
3	12	305	129.987.123.422	8000
4	12	200	129.987.123.422	7000
5	12	233	129.987.123.422	9000
6	12	335	129.987.123.422	8888
7	12	890	129.987.123.422	80
1	13	472	987.654.432.123	80
2	13	165	987.654.432.123	8080
3	13	969	987.654.432.123	8000
4	13	867	987.654.432.123	7000
5	13	232	987.654.432.123	9000
6	13	441	987.654.432.123	8888
7	13	834	987.654.432.123	80
1	14	159	456.423.0.124	80
2	14	827	456.423.0.124	8080
3	14	655	456.423.0.124	8000
4	14	143	456.423.0.124	7000
5	14	873	456.423.0.124	9000
6	14	968	456.423.0.124	8888
7	14	753	456.423.0.124	80
1	15	865	126.674.234.543	80
2	15	506	126.674.234.543	8080
3	15	270	126.674.234.543	8000
4	15	260	126.674.234.543	7000
5	15	451	126.674.234.543	9000
6	15	116	126.674.234.543	8888
7	15	875	126.674.234.543	80
