day	hour	value	ip	port
1	1	56	129.432.123.3	80
1	2	988	129.432.123.3	8080
1	3	333	129.432.123.3	8000
1	4	166	129.432.123.3	7000
1	5	633	129.432.123.3	9000
1	6	358	129.432.123.3	8888
1	7	462	129.432.123.3	80
1	8	441	129.432.123.3	8080
1	9	384	129.432.123.3	8000
1	10	818	129.432.123.3	7000
1	11	792	129.432.123.3	9000
1	12	310	129.432.123.3	8888
2	1	662	129.987.123.422	80
2	2	199	129.987.123.422	8080
2	3	490	129.987.123.422	8000
2	4	12	129.987.123.422	7000
2	5	574	129.987.123.422	9000
2	6	698	129.987.123.422	8888
2	7	914	129.987.123.422	80
2	8	812	129.987.123.422	8080
2	9	54	129.987.123.422	8000
2	10	343	129.987.123.422	7000
2	11	379	129.987.123.422	9000
2	12	716	129.987.123.422	8888
3	1	295	987.654.432.123	80
3	2	141	987.654.432.123	8080
3	3	829	987.654.432.123	8000
3	4	1	987.654.432.123	7000
3	5	951	987.654.432.123	9000
3	6	396	987.654.432.123	8888
3	7	30	987.654.432.123	80
3	8	129	987.654.432.123	8080
3	9	992	987.654.432.123	8000
3	10	668	987.654.432.123	7000
3	11	360	987.654.432.123	9000
3	12	49	987.654.432.123	8888
4	1	330	456.423.0.124	80
4	2	949	456.423.0.124	8080
4	3	889	456.423.0.124	8000
4	4	584	456.423.0.124	7000
4	5	609	456.423.0.124	9000
4	6	330	456.423.0.124	8888
4	7	17	456.423.0.124	80
4	8	430	456.423.0.124	8080
4	9	678	456.423.0.124	8000
4	10	859	456.423.0.124	7000
4	11	778	456.423.0.124	9000
4	12	572	456.423.0.124	8888
5	1	250	126.674.234.543	80
5	2	89	126.674.234.543	8080
5	3	153	126.674.234.543	8000
5	4	95	126.674.234.543	7000
5	5	293	126.674.234.543	9000
5	6	996	126.674.234.543	8888
5	7	387	126.674.234.543	80
5	8	820	126.674.234.543	8080
5	9	243	126.674.234.543	8000
5	10	915	126.674.234.543	7000
5	11	992	126.674.234.543	9000
5	12	779	126.674.234.543	8888
6	1	261	129.432.123.3	80
6	2	82	129.432.123.3	8080
6	3	485	129.432.123.3	8000
6	4	484	129.432.123.3	7000
6	5	739	129.432.123.3	9000
6	6	467	129.432.123.3	8888
6	7	376	129.432.123.3	80
6	8	616	129.432.123.3	8080
6	9	705	129.432.123.3	8000
6	10	189	129.432.123.3	7000
6	11	870	129.432.123.3	9000
6	12	405	129.432.123.3	8888
7	1	244	129.987.123.422	80
7	2	117	129.987.123.422	8080
7	3	111	129.987.123.422	8000
7	4	186	129.987.123.422	7000
7	5	842	129.987.123.422	9000
7	6	725	129.987.123.422	8888
7	7	381	129.987.123.422	80
7	8	360	129.987.123.422	8080
7	9	733	129.987.123.422	8000
7	10	472	129.987.123.422	7000
7	11	257	129.987.123.422	9000
7	12	878	129.987.123.422	8888
8	1	604	987.654.432.123	80
8	2	522	987.654.432.123	8080
8	3	172	987.654.432.123	8000
8	4	644	987.654.432.123	7000
8	5	650	987.654.432.123	9000
8	6	664	987.654.432.123	8888
8	7	823	987.654.432.123	80
8	8	666	987.654.432.123	8080
8	9	848	987.654.432.123	8000
8	10	864	987.654.432.123	7000
8	11	293	987.654.432.123	9000
8	12	399	987.654.432.123	8888
9	1	699	456.423.0.124	80
9	2	723	456.423.0.124	8080
9	3	898	456.423.0.124	8000
9	4	103	456.423.0.124	7000
9	5	496	456.423.0.124	9000
9	6	616	456.423.0.124	8888
9	7	618	456.423.0.124	80
9	8	973	456.423.0.124	8080
9	9	548	456.423.0.124	8000
9	10	340	456.423.0.124	7000
9	11	813	456.423.0.124	9000
9	12	373	456.423.0.124	8888
10	1	225	126.674.234.543	80
10	2	174	126.674.234.543	8080
10	3	988	126.674.234.543	8000
