day	hour	value	ip	port
1	1	991	129.432.123.3	80
1	2	790	129.432.123.3	8080
1	3	636	129.432.123.3	8000
1	4	657	129.432.123.3	7000
1	5	659	129.432.123.3	9000
1	6	146	129.432.123.3	8888
1	7	835	129.432.123.3	80
1	8	205	129.432.123.3	8080
1	9	434	129.432.123.3	8000
1	10	882	129.432.123.3	7000
1	11	772	129.432.123.3	9000
1	12	721	129.432.123.3	8888
2	1	30	129.987.123.422	80
2	2	19	129.987.123.422	8080
2	3	786	129.987.123.422	8000
2	4	591	129.987.123.422	7000
2	5	574	129.987.123.422	9000
2	6	996	129.987.123.422	8888
2	7	591	129.987.123.422	80
2	8	515	129.987.123.422	8080
2	9	904	129.987.123.422	8000
2	10	767	129.987.123.422	7000
2	11	323	129.987.123.422	9000
2	12	910	129.987.123.422	8888
3	1	930	987.654.432.123	80
3	2	517	987.654.432.123	8080
3	3	332	987.654.432.123	8000
3	4	686	987.654.432.123	7000
3	5	898	987.654.432.123	9000
3	6	942	987.654.432.123	8888
3	7	873	987.654.432.123	80
3	8	222	987.654.432.123	8080
3	9	190	987.654.432.123	8000
3	10	349	987.654.432.123	7000
3	11	687	987.654.432.123	9000
3	12	913	987.654.432.123	8888
4	1	702	456.423.0.124	80
4	2	250	456.423.0.124	8080
4	3	615	456.423.0.124	8000
4	4	261	456.423.0.124	7000
4	5	870	456.423.0.124	9000
4	6	104	456.423.0.124	8888
4	7	691	456.423.0.124	80
4	8	743	456.423.0.124	8080
4	9	816	456.423.0.124	8000
4	10	723	456.423.0.124	7000
4	11	166	456.423.0.124	9000
4	12	9	456.423.0.124	8888
5	1	567	126.674.234.543	80
5	2	300	126.674.234.543	8080
5	3	359	126.674.234.543	8000
5	4	480	126.674.234.543	7000
5	5	584	126.674.234.543	9000
5	6	28	126.674.234.543	8888
5	7	677	126.674.234.543	80
5	8	100	126.674.234.543	8080
5	9	593	126.674.234.543	8000
5	10	210	126.674.234.543	7000
5	11	554	126.674.234.543	9000
5	12	334	126.674.234.543	8888
6	1	68	129.432.123.3	80
6	2	348	129.432.123.3	8080
6	3	715	129.432.123.3	8000
6	4	265	129.432.123.3	7000
6	5	489	129.432.123.3	9000
6	6	920	129.432.123.3	8888
6	7	749	129.432.123.3	80
6	8	85	129.432.123.3	8080
6	9	178	129.432.123.3	8000
6	10	495	129.432.123.3	7000
6	11	361	129.432.123.3	9000
6	12	490	129.432.123.3	8888
7	1	663	129.987.123.422	80
7	2	493	129.987.123.422	8080
7	3	744	129.987.123.422	8000
7	4	191	129.987.123.422	7000
7	5	546	129.987.123.422	9000
7	6	362	129.987.123.422	8888
7	7	563	129.987.123.422	80
7	8	116	129.987.123.422	8080
7	9	117	129.987.123.422	8000
7	10	428	129.987.123.422	7000
7	11	175	129.987.123.422	9000
7	12	645	129.987.123.422	8888
8	1	599	987.654.432.123	80
8	2	499	987.654.432.123	8080
8	3	731	987.654.432.123	8000
8	4	561	987.654.432.123	7000
8	5	131	987.654.432.123	9000
8	6	904	987.654.432.123	8888
8	7	107	987.654.432.123	80
8	8	932	987.654.432.123	8080
8	9	310	987.654.432.123	8000
8	10	628	987.654.432.123	7000
8	11	353	987.654.432.123	9000
8	12	189	987.654.432.123	8888
9	1	782	456.423.0.124	80
9	2	265	456.423.0.124	8080
9	3	244	456.423.0.124	8000
9	4	575	456.423.0.124	7000
9	5	884	456.423.0.124	9000
9	6	805	456.423.0.124	8888
9	7	558	456.423.0.124	80
9	8	822	456.423.0.124	8080
9	9	415	456.423.0.124	8000
9	10	516	456.423.0.124	7000
9	11	784	456.423.0.124	9000
9	12	124	456.423.0.124	8888
10	1	975	126.674.234.543	80
10	2	124	126.674.234.543	8080
10	3	182	126.674.234.543	8000
10	4	224	126.674.234.543	7000
10	5	552	126.674.234.543	9000
10	6	377	126.674.234.543	8888
10	7	1	126.674.234.543	80
10	8	146	126.674.234.543	8080
10	9	12	126.674.234.543	8000
10	10	919	126.674.234.543	7000
10	11	380	126.674.234.543	9000
10	12	186	126.674.234.543	8888
11	1	700	129.432.123.3	80
11	2	305	129.432.123.3	8080
11	3	974	129.432.123.3	8000
11	4	673	129.432.123.3	7000
11	5	247	129.432.123.3	9000
11	6	293	129.432.123.3	8888
11	7	789	129.432.123.3	80
11	8	697	129.432.123.3	8080
11	9	654	129.432.123.3	8000
11	10	106	129.432.123.3	7000
11	11	818	129.432.123.3	9000
11	12	736	129.432.123.3	8888
