day	hour	value	ip	port
1	1	305	129.432.123.3	80
1	2	856	129.432.123.3	8080
1	3	864	129.432.123.3	8000
1	4	860	129.432.123.3	7000
1	5	772	129.432.123.3	9000
1	6	408	129.432.123.3	8888
1	7	338	129.432.123.3	80
1	8	278	129.432.123.3	8080
1	9	763	129.432.123.3	8000
1	10	1	129.432.123.3	7000
1	11	292	129.432.123.3	9000
1	12	605	129.432.123.3	8888
2	1	385	129.987.123.422	80
2	2	383	129.987.123.422	8080
2	3	85	129.987.123.422	8000
2	4	528	129.987.123.422	7000
2	5	38	129.987.123.422	9000
2	6	73	129.987.123.422	8888
2	7	81	129.987.123.422	80
2	8	225	129.987.123.422	8080
2	9	546	129.987.123.422	8000
2	10	30	129.987.123.422	7000
2	11	105	129.987.123.422	9000
2	12	466	129.987.123.422	8888
3	1	892	987.654.432.123	80
3	2	474	987.654.432.123	8080
3	3	461	987.654.432.123	8000
3	4	511	987.654.432.123	7000
3	5	582	987.654.432.123	9000
3	6	587	987.654.432.123	8888
3	7	200	987.654.432.123	80
3	8	21	987.654.432.123	8080
3	9	840	987.654.432.123	8000
3	10	587	987.654.432.123	7000
3	11	353	987.654.432.123	9000
3	12	694	987.654.432.123	8888
4	1	294	456.423.0.124	80
4	2	369	456.423.0.124	8080
4	3	320	456.423.0.124	8000
4	4	705	456.423.0.124	7000
4	5	594	456.423.0.124	9000
4	6	932	456.423.0.124	8888
4	7	751	456.423.0.124	80
4	8	928	456.423.0.124	8080
4	9	126	456.423.0.124	8000
4	10	132	456.423.0.124	7000
4	11	745	456.423.0.124	9000
4	12	110	456.423.0.124	8888
5	1	402	126.674.234.543	80
5	2	817	126.674.234.543	8080
5	3	449	126.674.234.543	8000
5	4	187	126.674.234.543	7000
5	5	910	126.674.234.543	9000
5	6	879	126.674.234.543	8888
5	7	925	126.674.234.543	80
5	8	666	126.674.234.543	8080
5	9	434	126.674.234.543	8000
5	10	507	126.674.234.543	7000
5	11	428	126.674.234.543	9000
