day	hour	value	ip	port
1	1	66	129.432.123.3	80
1	2	967	129.432.123.3	8080
1	3	436	129.432.123.3	8000
1	4	425	129.432.123.3	7000
1	5	454	129.432.123.3	9000
1	6	143	129.432.123.3	8888
1	7	519	129.432.123.3	80
1	8	64	129.432.123.3	8080
1	9	643	129.432.123.3	8000
1	10	761	129.432.123.3	7000
1	11	163	129.432.123.3	9000
1	12	47	129.432.123.3	8888
2	1	899	129.987.123.422	80
2	2	477	129.987.123.422	8080
2	3	598	129.987.123.422	8000
2	4	133	129.987.123.422	7000
2	5	368	129.987.123.422	9000
2	6	133	129.987.123.422	8888
2	7	315	129.987.123.422	80
2	8	187	129.987.123.422	8080
2	9	184	129.987.123.422	8000
2	10	718	129.987.123.422	7000
2	11	167	129.987.123.422	9000
2	12	22	129.987.123.422	8888
3	1	218	987.654.432.123	80
3	2	963	987.654.432.123	8080
3	3	39	987.654.432.123	8000
3	4	914	987.654.432.123	7000
3	5	184	987.654.432.123	9000
3	6	886	987.654.432.123	8888
3	7	569	987.654.432.123	80
3	8	222	987.654.432.123	8080
3	9	811	987.654.432.123	8000
3	10	550	987.654.432.123	7000
3	11	844	987.654.432.123	9000
3	12	296	987.654.432.123	8888
4	1	405	456.423.0.124	80
4	2	502	456.423.0.124	8080
4	3	884	456.423.0.124	8000
4	4	609	456.423.0.124	7000
4	5	701	456.423.0.124	9000
4	6	969	456.423.0.124	8888
4	7	569	456.423.0.124	80
4	8	965	456.423.0.124	8080
4	9	890	456.423.0.124	8000
4	10	671	456.423.0.124	7000
4	11	237	456.423.0.124	9000
4	12	342	456.423.0.124	8888
5	1	287	126.674.234.543	80
5	2	466	126.674.234.543	8080
5	3	569	126.674.234.543	8000
5	4	876	126.674.234.543	7000
5	5	77	126.674.234.543	9000
5	6	478	126.674.234.543	8888
5	7	146	126.674.234.543	80
5	8	779	126.674.234.543	8080
5	9	52	126.674.234.543	8000
5	10	914	126.674.234.543	7000
5	11	222	126.674.234.543	9000
5	12	129	126.674.234.543	8888
6	1	640	129.432.123.3	80
6	2	865	129.432.123.3	8080
6	3	783	129.432.123.3	8000
6	4	686	129.432.123.3	7000
6	5	366	129.432.123.3	9000
6	6	946	129.432.123.3	8888
6	7	992	129.432.123.3	80
6	8	762	129.432.123.3	8080
6	9	48	129.432.123.3	8000
6	10	61	129.432.123.3	7000
6	11	966	129.432.123.3	9000
