day	hour	value	ip	port
1	1	287	129.432.123.3	80
1	2	722	129.432.123.3	8080
1	3	907	129.432.123.3	8000
1	4	574	129.432.123.3	7000
1	5	546	129.432.123.3	9000
1	6	992	129.432.123.3	8888
1	7	579	129.432.123.3	80
1	8	888	129.432.123.3	8080
1	9	382	129.432.123.3	8000
1	10	399	129.432.123.3	7000
1	11	563	129.432.123.3	9000
1	12	491	129.432.123.3	8888
2	1	13	129.987.123.422	80
2	2	335	129.987.123.422	8080
2	3	562	129.987.123.422	8000
2	4	4	129.987.123.422	7000
2	5	725	129.987.123.422	9000
2	6	598	129.987.123.422	8888
2	7	624	129.987.123.422	80
2	8	759	129.987.123.422	8080
2	9	692	129.987.123.422	8000
2	10	593	129.987.123.422	7000
2	11	966	129.987.123.422	9000
2	12	242	129.987.123.422	8888
3	1	822	987.654.432.123	80
3	2	526	987.654.432.123	8080
3	3	796	987.654.432.123	8000
3	4	748	987.654.432.123	7000
3	5	723	987.654.432.123	9000
3	6	660	987.654.432.123	8888
3	7	232	987.654.432.123	80
3	8	908	987.654.432.123	8080
3	9	272	987.654.432.123	8000
3	10	114	987.654.432.123	7000
3	11	500	987.654.432.123	9000
3	12	193	987.654.432.123	8888
4	1	652	456.423.0.124	80
4	2	419	456.423.0.124	8080
4	3	454	456.423.0.124	8000
4	4	402	456.423.0.124	7000
4	5	875	456.423.0.124	9000
4	6	903	456.423.0.124	8888
4	7	159	456.423.0.124	80
4	8	317	456.423.0.124	8080
4	9	540	456.423.0.124	8000
4	10	398	456.423.0.124	7000
4	11	428	456.423.0.124	9000
4	12	236	456.423.0.124	8888
5	1	931	126.674.234.543	80
5	2	296	126.674.234.543	8080
5	3	441	126.674.234.543	8000
5	4	538	126.674.234.543	7000
5	5	900	126.674.234.543	9000
5	6	1	126.674.234.543	8888
5	7	664	126.674.234.543	80
5	8	91	126.674.234.543	8080
5	9	337	126.674.234.543	8000
5	10	273	126.674.234.543	7000
5	11	288	126.674.234.543	9000
5	12	740	126.674.234.543	8888
6	1	343	129.432.123.3	80
6	2	66	129.432.123.3	8080
6	3	563	129.432.123.3	8000
6	4	362	129.432.123.3	7000
6	5	153	129.432.123.3	9000
6	6	307	129.432.123.3	8888
6	7	341	129.432.123.3	80
6	8	709	129.432.123.3	8080
6	9	258	129.432.123.3	8000
6	10	732	129.432.123.3	7000
6	11	893	129.432.123.3	9000
6	12	567	129.432.123.3	8888
7	1	240	129.987.123.422	80
7	2	135	129.987.123.422	8080
7	3	361	129.987.123.422	8000
7	4	771	129.987.123.422	7000
7	5	275	129.987.123.422	9000
7	6	949	129.987.123.422	8888
7	7	772	129.987.123.422	80
7	8	911	129.987.123.422	8080
7	9	523	129.987.123.422	8000
7	10	981	129.987.123.422	7000
7	11	360	129.987.123.422	9000
7	12	106	129.987.123.422	8888
8	1	13	987.654.432.123	80
8	2	594	987.654.432.123	8080
8	3	972	987.654.432.123	8000
8	4	762	987.654.432.123	7000
8	5	755	987.654.432.123	9000
8	6	771	987.654.432.123	8888
8	7	666	987.654.432.123	80
8	8	606	987.654.432.123	8080
8	9	526	987.654.432.123	8000
8	10	609	987.654.432.123	7000
8	11	139	987.654.432.123	9000
8	12	971	987.654.432.123	8888
9	1	205	456.423.0.124	80
9	2	604	456.423.0.124	8080
9	3	481	456.423.0.124	8000
9	4	239	456.423.0.124	7000
9	5	672	456.423.0.124	9000
9	6	149	456.423.0.124	8888
9	7	530	456.423.0.124	80
9	8	316	456.423.0.124	8080
9	9	750	456.423.0.124	8000
9	10	273	456.423.0.124	7000
9	11	875	456.423.0.124	9000
9	12	453	456.423.0.124	8888
10	1	225	126.674.234.543	80
10	2	596	126.674.234.543	8080
10	3	211	126.674.234.543	8000
10	4	411	126.674.234.543	7000
10	5	407	126.674.234.543	9000
10	6	713	126.674.234.543	8888
10	7	649	126.674.234.543	80
10	8	144	126.674.234.543	8080
10	9	778	126.674.234.543	8000
10	10	294	126.674.234.543	7000
10	11	89	126.674.234.543	9000
10	12	654	126.674.234.543	8888
11	1	776	129.432.123.3	80
11	2	761	129.432.123.3	8080
11	3	473	129.432.123.3	8000
11	4	723	129.432.123.3	7000
11	5	979	129.432.123.3	9000
11	6	222	129.432.123.3	8888
11	7	260	129.432.123.3	80
11	8	182	129.432.123.3	8080
11	9	820	129.432.123.3	8000
11	10	448	129.432.123.3	7000
11	11	736	129.432.123.3	9000
11	12	679	129.432.123.3	8888
12	1	384	129.987.123.422	80
12	2	369	129.987.123.422	8080
12	3	70	129.987.123.422	8000
12	4	167	129.987.123.422	7000
12	5	237	129.987.123.422	9000
12	6	566	129.987.123.422	8888
12	7	557	129.987.123.422	80
12	8	489	129.987.123.422	8080
12	9	501	129.987.123.422	8000
12	10	538	129.987.123.422	7000
12	11	956	129.987.123.422	9000
12	12	524	129.987.123.422	8888
13	1	348	987.654.432.123	80
13	2	185	987.654.432.123	8080
13	3	438	987.654.432.123	8000
13	4	812	987.654.432.123	7000
13	5	933	987.654.432.123	9000
13	6	142	987.654.432.123	8888
13	7	551	987.654.432.123	80
13	8	949	987.654.432.123	8080
13	9	981	987.654.432.123	8000
13	10	23	987.654.432.123	7000
13	11	908	987.654.432.123	9000
13	12	903	987.654.432.123	8888
14	1	526	456.423.0.124	80
14	2	566	456.423.0.124	8080
14	3	930	456.423.0.124	8000
14	4	440	456.423.0.124	7000
14	5	417	456.423.0.124	9000
14	6	67	456.423.0.124	8888
14	7	382	456.423.0.124	80
14	8	350	456.423.0.124	8080
14	9	57	456.423.0.124	8000
14	10	640	456.423.0.124	7000
14	11	350	456.423.0.124	9000
14	12	625	456.423.0.124	8888
15	1	286	126.674.234.543	80
15	2	891	126.674.234.543	8080
15	3	759	126.674.234.543	8000
15	4	500	126.674.234.543	7000
15	5	140	126.674.234.543	9000
15	6	815	126.674.234.543	8888
15	7	865	126.674.234.543	80
15	8	583	126.674.234.543	8080
15	9	656	126.674.234.543	8000
15	10	727	126.674.234.543	7000
15	11	686	126.674.234.543	9000
15	12	3	126.674.234.543	8888
