day	hour	value	ip	port
1	1	393	129.432.123.3	80
1	2	643	129.432.123.3	8080
1	3	664	129.432.123.3	8000
1	4	153	129.432.123.3	7000
1	5	97	129.432.123.3	9000
1	6	395	129.432.123.3	8888
1	7	384	129.432.123.3	80
1	8	746	129.432.123.3	8080
1	9	784	129.432.123.3	8000
1	10	169	129.432.123.3	7000
1	11	6	129.432.123.3	9000
1	12	460	129.432.123.3	8888
2	1	670	129.987.123.422	80
2	2	575	129.987.123.422	8080
2	3	815	129.987.123.422	8000
2	4	614	129.987.123.422	7000
2	5	583	129.987.123.422	9000
2	6	275	129.987.123.422	8888
2	7	284	129.987.123.422	80
2	8	744	129.987.123.422	8080
2	9	450	129.987.123.422	8000
2	10	355	129.987.123.422	7000
2	11	674	129.987.123.422	9000
2	12	536	129.987.123.422	8888
3	1	292	987.654.432.123	80
3	2	882	987.654.432.123	8080
3	3	742	987.654.432.123	8000
3	4	400	987.654.432.123	7000
3	5	674	987.654.432.123	9000
3	6	760	987.654.432.123	8888
3	7	592	987.654.432.123	80
3	8	17	987.654.432.123	8080
3	9	273	987.654.432.123	8000
3	10	685	987.654.432.123	7000
3	11	53	987.654.432.123	9000
3	12	194	987.654.432.123	8888
4	1	848	456.423.0.124	80
4	2	401	456.423.0.124	8080
4	3	908	456.423.0.124	8000
4	4	393	456.423.0.124	7000
4	5	674	456.423.0.124	9000
4	6	6	456.423.0.124	8888
4	7	428	456.423.0.124	80
4	8	133	456.423.0.124	8080
4	9	751	456.423.0.124	8000
4	10	261	456.423.0.124	7000
4	11	465	456.423.0.124	9000
4	12	611	456.423.0.124	8888
5	1	916	126.674.234.543	80
5	2	856	126.674.234.543	8080
5	3	459	126.674.234.543	8000
5	4	586	126.674.234.543	7000
5	5	691	126.674.234.543	9000
5	6	157	126.674.234.543	8888
5	7	410	126.674.234.543	80
5	8	925	126.674.234.543	8080
5	9	896	126.674.234.543	8000
5	10	105	126.674.234.543	7000
5	11	474	126.674.234.543	9000
5	12	806	126.674.234.543	8888
6	1	97	129.432.123.3	80
6	2	999	129.432.123.3	8080
6	3	711	129.432.123.3	8000
6	4	415	129.432.123.3	7000
6	5	28	129.432.123.3	9000
6	6	941	129.432.123.3	8888
6	7	796	129.432.123.3	80
6	8	209	129.432.123.3	8080
6	9	415	129.432.123.3	8000
6	10	229	129.432.123.3	7000
6	11	343	129.432.123.3	9000
6	12	252	129.432.123.3	8888
7	1	400	129.987.123.422	80
7	2	512	129.987.123.422	8080
7	3	450	129.987.123.422	8000
7	4	856	129.987.123.422	7000
7	5	735	129.987.123.422	9000
7	6	428	129.987.123.422	8888
7	7	496	129.987.123.422	80
7	8	331	129.987.123.422	8080
7	9	355	129.987.123.422	8000
7	10	851	129.987.123.422	7000
7	11	854	129.987.123.422	9000
7	12	807	129.987.123.422	8888
8	1	925	987.654.432.123	80
8	2	373	987.654.432.123	8080
8	3	34	987.654.432.123	8000
8	4	779	987.654.432.123	7000
8	5	844	987.654.432.123	9000
8	6	383	987.654.432.123	8888
8	7	71	987.654.432.123	80
8	8	447	987.654.432.123	8080
8	9	311	987.654.432.123	8000
8	10	869	987.654.432.123	7000
8	11	428	987.654.432.123	9000
8	12	35	987.654.432.123	8888
9	1	629	456.423.0.124	80
9	2	63	456.423.0.124	8080
9	3	201	456.423.0.124	8000
9	4	68	456.423.0.124	7000
9	5	143	456.423.0.124	9000
9	6	480	456.423.0.124	8888
9	7	753	456.423.0.124	80
9	8	824	456.423.0.124	8080
9	9	649	456.423.0.124	8000
9	10	73	456.423.0.124	7000
9	11	306	456.423.0.124	9000
9	12	332	456.423.0.124	8888
10	1	346	126.674.234.543	80
10	2	837	126.674.234.543	8080
10	3	425	126.674.234.543	8000
10	4	396	126.674.234.543	7000
10	5	965	126.674.234.543	9000
10	6	460	126.674.234.543	8888
10	7	508	126.674.234.543	80
10	8	98	126.674.234.543	8080
10	9	410	126.674.234.543	8000
10	10	873	126.674.234.543	7000
10	11	180	126.674.234.543	9000
10	12	26	126.674.234.543	8888
11	1	842	129.432.123.3	80
11	2	536	129.432.123.3	8080
11	3	692	129.432.123.3	8000
11	4	647	129.432.123.3	7000
11	5	315	129.432.123.3	9000
11	6	982	129.432.123.3	8888
11	7	527	129.432.123.3	80
11	8	262	129.432.123.3	8080
11	9	932	129.432.123.3	8000
11	10	493	129.432.123.3	7000
11	11	823	129.432.123.3	9000
11	12	656	129.432.123.3	8888
12	1	864	129.987.123.422	80
12	2	742	129.987.123.422	8080
12	3	679	129.987.123.422	8000
12	4	130	129.987.123.422	7000
12	5	394	129.987.123.422	9000
12	6	370	129.987.123.422	8888
12	7	861	129.987.123.422	80
12	8	254	129.987.123.422	8080
12	9	422	129.987.123.422	8000
12	10	13	129.987.123.422	7000
12	11	158	129.987.123.422	9000
12	12	143	129.987.123.422	8888
13	1	587	987.654.432.123	80
13	2	639	987.654.432.123	8080
13	3	393	987.654.432.123	8000
13	4	36	987.654.432.123	7000
13	5	492	987.654.432.123	9000
13	6	59	987.654.432.123	8888
13	7	545	987.654.432.123	80
13	8	535	987.654.432.123	8080
13	9	712	987.654.432.123	8000
13	10	769	987.654.432.123	7000
13	11	291	987.654.432.123	9000
13	12	532	987.654.432.123	8888
14	1	773	456.423.0.124	80
14	2	772	456.423.0.124	8080
14	3	841	456.423.0.124	8000
14	4	362	456.423.0.124	7000
14	5	265	456.423.0.124	9000
14	6	529	456.423.0.124	8888
14	7	809	456.423.0.124	80
14	8	18	456.423.0.124	8080
14	9	128	456.423.0.124	8000
