day	hour	value	ip	port
1	1	398	129.432.123.3	80
1	2	606	129.432.123.3	8080
1	3	894	129.432.123.3	8000
1	4	856	129.432.123.3	7000
1	5	510	129.432.123.3	9000
1	6	771	129.432.123.3	8888
1	7	121	129.432.123.3	80
1	8	142	129.432.123.3	8080
1	9	179	129.432.123.3	8000
1	10	225	129.432.123.3	7000
1	11	867	129.432.123.3	9000
1	12	656	129.432.123.3	8888
2	1	356	129.987.123.422	80
2	2	221	129.987.123.422	8080
2	3	380	129.987.123.422	8000
2	4	70	129.987.123.422	7000
2	5	131	129.987.123.422	9000
2	6	257	129.987.123.422	8888
2	7	960	129.987.123.422	80
2	8	582	129.987.123.422	8080
2	9	333	129.987.123.422	8000
2	10	552	129.987.123.422	7000
2	11	278	129.987.123.422	9000
2	12	864	129.987.123.422	8888
3	1	424	987.654.432.123	80
3	2	6	987.654.432.123	8080
3	3	260	987.654.432.123	8000
3	4	562	987.654.432.123	7000
3	5	663	987.654.432.123	9000
3	6	585	987.654.432.123	8888
3	7	168	987.654.432.123	80
3	8	654	987.654.432.123	8080
3	9	615	987.654.432.123	8000
3	10	603	987.654.432.123	7000
3	11	420	987.654.432.123	9000
3	12	188	987.654.432.123	8888
4	1	114	456.423.0.124	80
4	2	824	456.423.0.124	8080
4	3	29	456.423.0.124	8000
4	4	29	456.423.0.124	7000
4	5	866	456.423.0.124	9000
4	6	333	456.423.0.124	8888
4	7	337	456.423.0.124	80
4	8	617	456.423.0.124	8080
4	9	808	456.423.0.124	8000
4	10	470	456.423.0.124	7000
4	11	764	456.423.0.124	9000
4	12	722	456.423.0.124	8888
5	1	211	126.674.234.543	80
5	2	788	126.674.234.543	8080
5	3	656	126.674.234.543	8000
5	4	158	126.674.234.543	7000
5	5	693	126.674.234.543	9000
5	6	425	126.674.234.543	8888
5	7	668	126.674.234.543	80
5	8	168	126.674.234.543	8080
5	9	232	126.674.234.543	8000
5	10	220	126.674.234.543	7000
5	11	718	126.674.234.543	9000
5	12	529	126.674.234.543	8888
6	1	415	129.432.123.3	80
6	2	215	129.432.123.3	8080
6	3	960	129.432.123.3	8000
6	4	499	129.432.123.3	7000
6	5	336	129.432.123.3	9000
6	6	923	129.432.123.3	8888
6	7	741	129.432.123.3	80
6	8	371	129.432.123.3	8080
6	9	442	129.432.123.3	8000
6	10	817	129.432.123.3	7000
6	11	972	129.432.123.3	9000
6	12	829	129.432.123.3	8888
7	1	138	129.987.123.422	80
7	2	825	129.987.123.422	8080
7	3	949	129.987.123.422	8000
7	4	310	129.987.123.422	7000
7	5	720	129.987.123.422	9000
7	6	601	129.987.123.422	8888
7	7	747	129.987.123.422	80
7	8	118	129.987.123.422	8080
7	9	207	129.987.123.422	8000
7	10	863	129.987.123.422	7000
7	11	340	129.987.123.422	9000
7	12	558	129.987.123.422	8888
8	1	448	987.654.432.123	80
8	2	660	987.654.432.123	8080
8	3	975	987.654.432.123	8000
8	4	915	987.654.432.123	7000
8	5	29	987.654.432.123	9000
8	6	636	987.654.432.123	8888
8	7	338	987.654.432.123	80
8	8	214	987.654.432.123	8080
8	9	745	987.654.432.123	8000
8	10	264	987.654.432.123	7000
8	11	890	987.654.432.123	9000
8	12	941	987.654.432.123	8888
9	1	133	456.423.0.124	80
9	2	146	456.423.0.124	8080
9	3	512	456.423.0.124	8000
9	4	106	456.423.0.124	7000
9	5	881	456.423.0.124	9000
9	6	53	456.423.0.124	8888
9	7	24	456.423.0.124	80
9	8	668	456.423.0.124	8080
9	9	176	456.423.0.124	8000
9	10	710	456.423.0.124	7000
9	11	240	456.423.0.124	9000
9	12	433	456.423.0.124	8888
10	1	382	126.674.234.543	80
10	2	733	126.674.234.543	8080
10	3	9	126.674.234.543	8000
10	4	537	126.674.234.543	7000
10	5	258	126.674.234.543	9000
10	6	496	126.674.234.543	8888
10	7	278	126.674.234.543	80
10	8	829	126.674.234.543	8080
10	9	359	126.674.234.543	8000
10	10	406	126.674.234.543	7000
10	11	926	126.674.234.543	9000
10	12	120	126.674.234.543	8888
11	1	895	129.432.123.3	80
11	2	107	129.432.123.3	8080
11	3	687	129.432.123.3	8000
11	4	215	129.432.123.3	7000
11	5	467	129.432.123.3	9000
11	6	230	129.432.123.3	8888
11	7	189	129.432.123.3	80
11	8	379	129.432.123.3	8080
11	9	955	129.432.123.3	8000
11	10	964	129.432.123.3	7000
11	11	400	129.432.123.3	9000
11	12	9	129.432.123.3	8888
12	1	171	129.987.123.422	80
12	2	880	129.987.123.422	8080
12	3	582	129.987.123.422	8000
12	4	531	129.987.123.422	7000
12	5	879	129.987.123.422	9000
12	6	34	129.987.123.422	8888
12	7	828	129.987.123.422	80
12	8	780	129.987.123.422	8080
12	9	9	129.987.123.422	8000
12	10	975	129.987.123.422	7000
12	11	418	129.987.123.422	9000
12	12	245	129.987.123.422	8888
13	1	346	987.654.432.123	80
13	2	864	987.654.432.123	8080
13	3	149	987.654.432.123	8000
13	4	134	987.654.432.123	7000
13	5	50	987.654.432.123	9000
13	6	757	987.654.432.123	8888
13	7	933	987.654.432.123	80
13	8	411	987.654.432.123	8080
13	9	942	987.654.432.123	8000
13	10	395	987.654.432.123	7000
13	11	356	987.654.432.123	9000
13	12	427	987.654.432.123	8888
14	1	878	456.423.0.124	80
14	2	828	456.423.0.124	8080
14	3	932	456.423.0.124	8000
14	4	117	456.423.0.124	7000
14	5	88	456.423.0.124	9000
14	6	852	456.423.0.124	8888
14	7	850	456.423.0.124	80
14	8	539	456.423.0.124	8080
14	9	524	456.423.0.124	8000
14	10	38	456.423.0.124	7000
14	11	953	456.423.0.124	9000
14	12	279	456.423.0.124	8888
15	1	999	126.674.234.543	80
15	2	299	126.674.234.543	8080
15	3	30	126.674.234.543	8000
15	4	108	126.674.234.543	7000
15	5	464	126.674.234.543	9000
15	6	860	126.674.234.543	8888
15	7	844	126.674.234.543	80
15	8	469	126.674.234.543	8080
15	9	881	126.674.234.543	8000
15	10	253	126.674.234.543	7000
15	11	670	126.674.234.543	9000
15	12	862	126.674.234.543	8888
